Cluster.Number	GeneID	Symbol	bat_old	bat_young	brain_old	brain_young	epi_old	epi_young	heart_old	heart_young	kidney_old	kidney_young	liver_old	liver_young	lung_old	lung_young	skm_old	skm_young	spleen_old	spleen_young	subQ_old	subQ_young
1	64852	TUT1	NA	NA	NA	NA	11.225225955885405	NA	NA	NA	NA	NA	NA	NA	NA	13.68298208091618	NA	NA	22.70160184701036	8.251532310309857	NA	NA
1	10907	TXNL4A	NA	11.108577531851335	4.3967835671738715	NA	NA	NA	NA	6.409752763952147	NA	13.034760607775706	NA	NA	NA	NA	NA	NA	NA	2.676383385926966	NA	25.30016446
1	55954	ZMAT5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	741	ZNHIT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	8233	ZRSR2	NA	NA	NA	NA	NA	11.757965412202918	NA	NA	7.9014134143625085	NA	8.349252511756593	NA	NA	NA	NA	NA	19.050783269382823	15.104217092299589	NA	NA
2	5926	ARID4A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.275000503742637	NA	NA
2	51742	ARID4B	NA	NA	NA	NA	28.707321503010565	NA	NA	NA	8.502759228683797	NA	NA	NA	18.2081620313046	NA	NA	NA	NA	13.9150179071769	NA	11.58262112
2	84159	ARID5B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	57597	BAHCC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	22893	BAHD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.630187207914052	NA	NA
2	53335	BCL11A	NA	NA	NA	19.993663041831446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.418166479914351	6.220748720733843	NA	NA
2	222389	BEND7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	25855	BRMS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	84312	BRMS1L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.093543136035451	5.653355790535746	NA	NA
2	56946	C11orf30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	25770	C22orf31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	64925	CCDC71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.006633423175083	NA	NA	NA	NA	NA	NA
