cluster_no	bat_old	bat_young	brain_old	brain_young	epi_old	epi_young	heart_old	heart_young	kidney_old	kidney_young	liver_old	liver_young	lung_old	lung_young	skm_old	skm_young	spleen_old	spleen_young	subQ_old	subQ_young
29	0.03608771561899093	8.859198938354274e-4	6.959100302345247e-5	0.5045528713289456	0.025739491063134404	0.0024889375087676475	0.002990043662453602	0.07398102280123388	0.02434406070057751	0.17787127229893573	0.03208313798663832	0.35573629736283185	0.352300016416484	4.35589083496992e-4	0.028481649608688948	0.18043050301873356	0.06076644999998128	0.029455457001916215	0.005839421373955829	0.01605100609452535
30	0.715978386359688	0.8062664757720588	0.42724716570371146	0.4826845298419	0.8205543328305304	0.5742738495509898	0.6331743843045197	0.6204449896803329	0.4926239429678858	0.4145575380625187	0.33178136882184006	0.7069344556228125	0.33400086386459005	0.7062740369571678	0.4804143887319111	0.5303996854176805	0.0534959334686839	0.24358463903797678	0.8188252108078995	0.6170459651617937
31	0.12100408321319504	0.2085214231437333	0.7743520228500017	0.21322575966751228	0.5004970041151906	0.8607943063611172	0.07262710833562953	0.24466933223724938	0.22112409200700742	0.4145575380625187	0.33178136882184006	0.11455302035393075	0.33400086386459005	0.7062740369571678	0.4804143887319111	0.5303996854176805	0.43040000004821577	0.8316841120898079	0.8188252108078995	0.8816265455049002
32	0.32943752086591993	0.19116720116153577	0.15703079705951156	0.7963018159463533	0.018257600446839915	0.27007551069000124	0.2415833273199083	0.22986229427425725	0.06677430999472692	0.14884700235557588	0.1009586672001715	0.10387818706432178	0.3155545777424539	0.07205250897242683	0.4660238236208488	0.15821723259448048	0.04672732470440596	0.004579804941488486	0.20671746624700407	0.31005573277120185
33	0.32943752086591993	0.19116720116153577	0.405973539526868	0.7963018159463533	0.4777465754442781	0.10216834732719017	0.06545237505923857	0.6047876706202044	0.4699989553878131	0.14884700235557588	0.1009586672001715	7.17839409242139e-4	0.6887442658214453	0.6835669511495963	0.0030056997336124765	0.03287217659036685	0.4090488757015499	0.4968427950926376	0.47484838420322517	0.5934697296786391
34	0.291133594717759	0.4080556799439118	0.7281300717606367	0.0474140167439142	0.05245721235153314	0.07803915961266211	0.05215410676167972	0.04796362064223798	0.42300197635738224	0.12156161584947292	0.08138918659863224	0.2813084786347022	0.6554493825661432	0.014115387676282324	0.01781040926591878	0.13658294119695744	0.007162310909656778	0.05840431994193692	0.012102746156947324	0.028229152568948347
35	0.6675135970805666	0.7620836133870212	0.7281300717606367	0.7660320843684635	0.05245721235153314	0.5010685028281587	0.5841136671591136	0.5715152958035898	0.7724745381948259	0.35074633054829074	0.6535567460531713	0.6582698842492312	0.6554493825661432	0.349734648205403	0.43604177955307477	0.4838015975520684	0.7303807574852252	0.1862180540382565	0.7756320591667736	0.09706636513255118
36	0.6675135970805666	0.7620836133870212	0.362344705959063	0.4136793918414061	0.43041306174956573	0.5010685028281587	0.5841136671591136	0.5715152958035898	0.42300197635738224	0.7189471126587005	0.6535567460531713	0.2813084786347022	0.08235561515515455	0.6338612773694614	0.43604177955307477	0.4838015975520684	0.7303807574852252	0.7896268389469526	0.7756320591667736	0.5431169798514079
37	0.6495907398251947	0.3842122460818217	0.7107117210081809	0.040443298230048684	0.4059038957163619	0.4749254187061063	0.5663476490571727	0.5538463944800824	0.15107605361399346	0.7014137420820145	0.2578238735168552	0.6403193411247297	0.637492786908344	0.3212701196605269	0.42042823861954814	0.1260345906689847	0.005736623448388891	0.04999844409975146	0.40320857082709627	0.08395451512043642
38	0.27186019248866944	0.14171368577987528	0.7107117210081809	0.1451991520158443	0.4059038957163619	0.06718137399790407	0.04605244925054307	0.5538463944800824	0.7558329876311383	0.10868379027784522	0.6355967079470219	0.6403193411247297	0.259693706266916	0.3212701196605269	0.42042823861954814	0.46726737582087263	0.3428568111262015	0.16795894916735388	0.15404550146142876	0.2385898765371057
39	0.6495907398251947	0.7452251403659209	0.34007424825416643	0.7492533847243179	0.760978234560706	0.4749254187061063	0.5663476490571727	0.5538463944800824	0.7558329876311383	0.7014137420820145	0.6355967079470219	0.6403193411247297	0.637492786908344	0.8779032328383777	0.42042823861954814	0.46726737582087263	0.712992863954472	0.7733945156081445	0.7590609567508815	0.8309900010426218
40	0.06963312769641967	0.12631301309305804	0.3175677625208997	0.03409665368419657	0.0013089799909412785	0.44796767507681456	0.18091210207671746	0.5354512800738715	0.007459201101286461	0.022307803078357866	0.06368161355785033	0.06563696224944397	0.06446031223516131	0.03460356234970109	0.4043844738256257	0.11569532906687392	0.024718297002955494	0.39816656788319715	0.13754973748743302	0.07177852718195173
41	0.25256851267080915	0.12631301309305804	0.10209037686068852	0.7312738149978856	0.1391846313776437	0.44796767507681456	0.18091210207671746	0.5354512800738715	0.37394282556962666	0.3068956724042049	0.23927059149170804	0.2436974263762378	0.6186028328762725	0.11377360657874522	0.4043844738256257	0.45020573656327845	0.10354116409346538	0.7559120494369851	0.037210947002571534	0.4885837108273886
42	0.25256851267080915	0.3599623900516272	0.3175677625208997	0.7312738149978856	0.3808971936126845	0.18462299115089748	0.5478250920016288	0.1715807978469055	0.7379766282611495	0.3068956724042049	0.6167080662255136	0.2436974263762378	0.6186028328762725	0.5782484505273631	0.4043844738256257	0.11569532906687392	0.024718297002955494	0.15026487340721337	0.7412683374546922	0.4885837108273886
43	0.6307042124583684	0.7271744956517159	0.3175677625208997	0.7312738149978856	0.7432245176184888	0.7899701674824426	0.5478250920016288	0.5354512800738715	0.37394282556962666	0.3068956724042049	0.6167080662255136	0.621428352769901	0.24104055500150423	0.5782484505273631	0.4043844738256257	0.45020573656327845	0.6944860613130583	0.7559120494369851	0.7412683374546922	0.4885837108273886
44	0.25256851267080915	0.7271744956517159	0.6921798473704801	0.7312738149978856	0.7432245176184888	0.7899701674824426	0.5478250920016288	0.5354512800738715	0.7379766282611495	0.6827890157210481	0.23927059149170804	0.621428352769901	0.6186028328762725	0.8643481511165314	0.4043844738256257	0.45020573656327845	0.6944860613130583	0.39816656788319715	0.3782922638905295	0.815258541166806
45	0.23331215635771546	0.7078475427253954	0.6724634218520811	0.7120075987547172	0.12318498198809416	0.4202471820319815	0.5285138820055808	0.5163002020619258	0.34877422487467746	0.6630051555464773	0.2207875411828807	0.22495421962604886	0.5987311340407585	0.8492902721381542	0.38789868694044205	0.01695826783278254	0.2974228816835399	0.3720716526751987	0.722164333582894	0.459826959406043
46	0.610802333522181	0.7078475427253954	0.6724634218520811	0.34040202927982166	0.3554537660089958	0.771970036303199	0.5285138820055808	0.5163002020619258	0.7188169544352803	0.6630051555464773	0.5968429359763657	0.6015477776965504	0.5987311340407585	0.8492902721381542	0.38789868694044205	0.432599925642415	0.674788505218564	0.3720716526751987	0.722164333582894	0.7980651290436788
47	0.06085734611525956	0.0273575786043893	0.29488593245140404	0.02837193136016235	0.3554537660089958	0.771970036303199	0.16611383789496328	0.5163002020619258	0.34877422487467746	0.2847356623787397	0.2207875411828807	0.22495421962604886	0.22245316102609983	0.09710622884631485	0.38789868694044205	0.10558912459104015	0.2974228816835399	0.3720716526751987	0.3529509453217824	0.014685538984878272
48	0.06085734611525956	0.11156307305497941	0.6724634218520811	0.34040202927982166	1.1642252613947432e-4	0.010775572967961965	0.16611383789496328	0.1574160775289863	8.803694381434623e-4	0.018443924691427718	1.3076877677787212e-5	0.010613831971476126	0.5987311340407585	0.027703805477624487	0.38789868694044205	0.432599925642415	0.003504357487964561	0.001144582353950977	0.12170677056877048	0.0028045930425626207
49	0.001663287549787311	0.00512612002036326	0.29488593245140404	0.02837193136016235	0.7241546584602887	0.4202471820319815	0.16611383789496328	0.03208483869015723	0.34877422487467746	0.08468066546482382	0.05558231292983064	0.6015477776965504	0.056271910019756274	0.26454895003109163	0.08297996116431221	0.10558912459104015	0.09109544823706912	0.3720716526751987	0.3529509453217824	0.06057675037497051
50	0.23331215635771546	0.33536771879283056	0.29488593245140404	0.02837193136016235	0.12318498198809416	0.4202471820319815	0.16611383789496328	0.1574160775289863	0.34877422487467746	0.2847356623787397	0.5968429359763657	0.22495421962604886	0.056271910019756274	0.09710622884631485	0.08297996116431221	0.10558912459104015	0.2974228816835399	0.13321877636376347	0.12170677056877048	0.19271835467050222
51	0.21415051077522043	0.6871542191735862	0.2720981234059212	0.3152933964605449	0.7036712755463277	0.3918306372697721	0.5083805462216575	0.14349038432467198	0.6982590250152463	0.6419901837038253	0.04801277211640336	0.5806259133593004	0.5778268022066109	0.5166861318898637	0.07504787495437472	0.0957412516179005	0.6538237483555072	0.3455324441961506	0.7016524786794988	0.7792741196193658
52	0.21415051077522043	0.6871542191735862	0.6514868946631545	0.6913628448950007	0.7036712755463277	0.752429877732576	0.15154458611084093	0.14349038432467198	0.6982590250152463	0.6419901837038253	0.5759509695989503	0.5806259133593004	0.5778268022066109	0.5166861318898637	0.07504787495437472	0.0957412516179005	0.274497611300599	0.3455324441961506	0.32725714812700357	0.1706947539545802
53	0.5898306570130443	0.6871542191735862	0.2720981234059212	0.10008226681529846	0.7036712755463277	0.752429877732576	0.5083805462216575	0.4963621951434293	0.6982590250152463	0.6419901837038253	0.5759509695989503	0.5806259133593004	0.5778268022066109	0.8325632169983795	0.37095875773065723	0.4144326589173387	0.6538237483555072	0.7168049128145046	0.7016524786794988	0.7792741196193658
54	0.5898306570130443	0.6871542191735862	0.6514868946631545	0.6913628448950007	0.329646123340007	0.3918306372697721	0.5083805462216575	0.4963621951434293	0.6982590250152463	0.6419901837038253	0.20243140471031978	0.5806259133593004	0.5778268022066109	0.23664182983362914	0.37095875773065723	0.0957412516179005	0.07932399403093131	0.3455324441961506	0.7016524786794988	0.7792741196193658
55	0.21415051077522043	0.3105005359330688	0.2720981234059212	0.3152933964605449	0.7036712755463277	0.752429877732576	0.15154458611084093	0.4963621951434293	0.6982590250152463	0.6419901837038253	0.5759509695989503	0.5806259133593004	0.5778268022066109	0.5166861318898637	0.37095875773065723	0.0957412516179005	0.274497611300599	0.3455324441961506	0.32725714812700357	0.4301482255465383
56	0.5898306570130443	0.3105005359330688	0.2720981234059212	0.6913628448950007	0.7036712755463277	0.752429877732576	0.5083805462216575	0.4963621951434293	0.6982590250152463	0.6419901837038253	0.5759509695989503	0.2063275578542018	0.5778268022066109	0.5166861318898637	0.07504787495437472	0.014456580255483024	0.274497611300599	0.7168049128145046	0.7016524786794988	0.4301482255465383
57	0.5677318248814074	0.28544504040916485	0.6291699081186113	0.2899744400316918	0.6816697960047797	0.731218157705352	0.1372505103630034	0.47560502980114927	0.29752299767588597	0.6196676628617359	0.5539792304878541	0.5586083630354709	0.5558363184051014	0.8139822119919962	0.3535522352144054	0.3956861055467834	0.6315104461758068	0.6949653558369544	0.6796292239411168	0.758737302320964
58	0.19514921369132365	0.28544504040916485	0.6291699081186113	0.2899744400316918	0.6816697960047797	0.731218157705352	0.025496575116764352	0.1298471267014295	0.6762009963512479	0.24028778577429896	0.5539792304878541	0.5586083630354709	0.5558363184051014	0.48373974341265935	0.3535522352144054	0.3956861055467834	0.6315104461758068	0.6949653558369544	0.6796292239411168	0.3996242877121904
59	0.007447228969373448	0.08427384112600894	0.6291699081186113	0.08652575298690127	0.30355986957463144	0.36280166697389526	0.48739019562690367	0.47560502980114927	0.29752299767588597	0.6196676628617359	0.18426450675809428	0.04230537052769237	0.5558363184051014	0.48373974341265935	0.3535522352144054	0.08617834910467495	0.25153600926887343	0.6949653558369544	0.3012963490429099	0.758737302320964
60	0.19514921369132365	0.08427384112600894	0.013115202234426365	0.08652575298690127	0.09344281290969039	0.032344475040314215	0.48739019562690367	0.47560502980114927	0.29752299767588597	0.24028778577429896	0.040990403225032286	0.18788088732956215	0.006651862982001034	0.06758047232429895	0.06737773064528808	0.08617834910467495	0.06827222598581838	0.31863502910793706	0.003454573231386935	0.04120377935791899
61	0.5677318248814074	0.6649981201594379	0.6291699081186113	0.6692411126341502	0.6816697960047797	0.36280166697389526	0.1372505103630034	0.1298471267014295	0.6762009963512479	0.6196676628617359	0.18426450675809428	0.18788088732956215	0.18570957995035234	0.20929623658611532	0.06737773064528808	0.3956861055467834	0.25153600926887343	0.6949653558369544	0.6796292239411168	0.758737302320964
62	0.045000710750621044	0.0180628925506791	0.6291699081186113	0.08652575298690127	0.09344281290969039	0.36280166697389526	0.025496575116764352	0.0029829842382947578	0.0903389488798623	0.012035430921611863	0.18426450675809428	0.5586083630354709	0.006651862982001034	0.06758047232429895	0.008274888039223549	0.3956861055467834	0.25153600926887343	0.023529629848864916	0.09227335734978212	0.758737302320964
63	0.19514921369132365	0.6649981201594379	0.6291699081186113	0.08652575298690127	0.30355986957463144	0.731218157705352	0.48739019562690367	0.47560502980114927	0.29752299767588597	0.6196676628617359	0.5539792304878541	0.18788088732956215	0.5558363184051014	0.20929623658611532	0.3535522352144054	0.3956861055467834	0.6315104461758068	0.6949653558369544	0.6796292239411168	0.3996242877121904
64	0.045000710750621044	0.08427384112600894	0.013115202234426365	0.01875459656868429	0.09344281290969039	0.731218157705352	0.0033731887289936424	0.1298471267014295	0.0903389488798623	0.012035430921611863	0.5539792304878541	0.5586083630354709	0.04151376759229619	0.20929623658611532	0.06737773064528808	0.08617834910467495	0.25153600926887343	0.6949653558369544	0.3012963490429099	0.3996242877121904
65	0.5677318248814074	0.28544504040916485	0.24928323973582897	0.2899744400316918	0.30355986957463144	0.032344475040314215	0.1372505103630034	0.1298471267014295	0.0903389488798623	0.24028778577429896	0.18426450675809428	0.18788088732956215	0.18570957995035234	0.016687369603380717	0.008274888039223549	0.08617834910467495	0.6315104461758068	0.31863502910793706	0.3012963490429099	0.3996242877121904
66	0.5677318248814074	0.6649981201594379	0.6291699081186113	0.2899744400316918	0.6816697960047797	0.731218157705352	0.48739019562690367	0.47560502980114927	0.6762009963512479	0.6196676628617359	0.18426450675809428	0.5586083630354709	0.5558363184051014	0.8139822119919962	0.3535522352144054	0.3956861055467834	0.6315104461758068	0.6949653558369544	0.09227335734978212	0.758737302320964
67	0.5677318248814074	0.6649981201594379	0.6291699081186113	0.6692411126341502	0.6816697960047797	0.36280166697389526	0.48739019562690367	0.47560502980114927	0.6762009963512479	0.6196676628617359	0.5539792304878541	0.5586083630354709	0.5558363184051014	0.48373974341265935	0.3535522352144054	0.3956861055467834	0.25153600926887343	0.31863502910793706	0.6796292239411168	0.758737302320964
68	0.045000710750621044	0.08427384112600894	0.06726256837501852	0.2899744400316918	0.003536911922509516	0.1264941198885671	0.1372505103630034	0.1298471267014295	0.29752299767588597	0.012035430921611863	0.040990403225032286	8.252682546936458e-4	0.18570957995035234	0.20929623658611532	4.589862666090745e-5	0.0012166010009809036	0.06827222598581838	0.023529629848864916	0.09227335734978212	0.001401801307373745
69	0.5444454116820272	0.6412760526750458	0.6054269913446875	0.6455369455964965	0.2772952374915132	0.10884106147951965	0.46550646529790984	0.45399516085741665	0.652533621434038	0.2181639592572733	0.5308720602547441	0.16968394772932846	0.5327033972516795	0.7933420577057877	0.3356663286788355	0.3763418707691517	0.22862803635849163	0.2914813176657043	0.6559834192599787	0.7362927389079157
70	0.005816136116879545	0.0021191099872047846	0.05710993722365745	0.26454335415109265	0.07984679750090794	0.10884106147951965	0.1232812684572234	0.0023082865471468284	0.0024162689488844242	0.009456303385398894	0.1663552438164615	0.03565374769731969	0.03497716047786587	0.18272453078702455	0.05998987531953	0.07692848136757913	0.6077620438691234	0.08680364237234854	0.01628171140660797	0.03305997710892506
71	0.5444454116820272	0.26029864049876983	0.6054269913446875	0.6455369455964965	0.2772952374915132	0.708192127034636	0.1232812684572234	0.11653285715071855	0.27162499157638353	0.2181639592572733	0.5308720602547441	0.03565374769731969	0.5327033972516795	0.0021882943746798227	0.3356663286788355	0.3763418707691517	0.22862803635849163	0.6714447104163909	0.6559834192599787	0.7362927389079157
72	0.5444454116820272	0.6412760526750458	0.6054269913446875	0.6455369455964965	0.6580379256028952	0.708192127034636	0.46550646529790984	0.45399516085741665	0.652533621434038	0.595956420543771	0.5308720602547441	0.5354378958038519	0.5327033972516795	0.4494343050593418	0.3356663286788355	0.3763418707691517	0.22862803635849163	0.2914813176657043	0.6559834192599787	0.7362927389079157
73	0.1763806508237358	0.07185928826813462	0.22653065581572748	0.26454335415109265	0.6580379256028952	0.708192127034636	0.1232812684572234	0.45399516085741665	0.652533621434038	0.2181639592572733	0.1663552438164615	0.5354378958038519	0.1676851034055954	0.4494343050593418	0.3356663286788355	0.3763418707691517	0.6077620438691234	0.2914813176657043	0.07882661987138817	0.36835406546553706
74	0.03795943291663708	0.07185928826813462	0.22653065581572748	0.07381866115848561	0.07984679750090794	0.33326322358822924	0.46550646529790984	0.019517347909970617	0.07714003162244233	0.2181639592572733	0.1663552438164615	0.16968394772932846	0.5327033972516795	0.4494343050593418	0.3356663286788355	0.3763418707691517	0.05798269286710718	0.6714447104163909	0.07882661987138817	0.12916399779251406
75	0.5444454116820272	0.6412760526750458	0.6054269913446875	0.6455369455964965	0.6580379256028952	0.708192127034636	0.46550646529790984	0.45399516085741665	0.652533621434038	0.595956420543771	0.5308720602547441	0.5354378958038519	0.5327033972516795	0.7933420577057877	0.3356663286788355	0.3763418707691517	0.6077620438691234	0.6714447104163909	0.6559834192599787	0.7362927389079157
