cluster_no	bat_old	bat_young	brain_old	brain_young	epi_old	epi_young	heart_old	heart_young	kidney_old	kidney_young	liver_old	liver_young	lung_old	lung_young	skm_old	skm_young	spleen_old	spleen_young	subQ_old	subQ_young
70	20	26.666666666666668	13.333333333333334	6.666666666666667	13.333333333333334	13.333333333333334	6.666666666666667	20	26.666666666666668	20	6.666666666666667	13.333333333333334	13.333333333333334	13.333333333333334	6.666666666666667	6.666666666666667	0	13.333333333333334	20	20
71	0	6.666666666666667	0	0	6.666666666666667	0	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	0	13.333333333333334	0	33.33333333333333	0	0	6.666666666666667	0	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	6.666666666666667	0	0	6.666666666666667	6.666666666666667	0	0
73	6.666666666666667	13.333333333333334	6.666666666666667	6.666666666666667	0	0	6.666666666666667	0	0	6.666666666666667	6.666666666666667	0	6.666666666666667	6.666666666666667	0	0	0	6.666666666666667	13.333333333333334	6.666666666666667
74	13.333333333333334	13.333333333333334	6.666666666666667	13.333333333333334	13.333333333333334	6.666666666666667	0	13.333333333333334	13.333333333333334	6.666666666666667	6.666666666666667	6.666666666666667	0	6.666666666666667	0	0	13.333333333333334	0	13.333333333333334	13.333333333333334
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	0	0	0	6.666666666666667	0	0	0	20	0	0	13.333333333333334	6.666666666666667	13.333333333333334	13.333333333333334
77	0	0	6.666666666666667	6.666666666666667	6.666666666666667	0	6.666666666666667	0	6.666666666666667	6.666666666666667	0	0	6.666666666666667	13.333333333333334	0	0	20	6.666666666666667	0	0
78	0	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	0	0	0	13.333333333333334	6.666666666666667	0	6.666666666666667	6.666666666666667	0	0	6.666666666666667	0	0	6.666666666666667
79	0	0	13.333333333333334	0	6.666666666666667	13.333333333333334	6.666666666666667	0	0	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	0	0	0	13.333333333333334	6.666666666666667	13.333333333333334
80	6.666666666666667	0	0	13.333333333333334	0	13.333333333333334	6.666666666666667	0	0	0	0	0	0	0	0	6.666666666666667	6.666666666666667	13.333333333333334	6.666666666666667	6.666666666666667
81	13.333333333333334	6.666666666666667	6.666666666666667	0	0	0	6.666666666666667	13.333333333333334	6.666666666666667	0	6.666666666666667	0	0	6.666666666666667	0	0	0	0	6.666666666666667	6.666666666666667
82	0	0	0	0	6.666666666666667	6.666666666666667	0	0	0	0	13.333333333333334	0	6.666666666666667	13.333333333333334	0	0	13.333333333333334	0	0	0
83	26.666666666666668	13.333333333333334	13.333333333333334	13.333333333333334	26.666666666666668	6.666666666666667	6.666666666666667	13.333333333333334	6.666666666666667	13.333333333333334	0	13.333333333333334	6.666666666666667	13.333333333333334	0	13.333333333333334	13.333333333333334	6.666666666666667	20	20
84	0	7.142857142857142	0	0	21.428571428571427	7.142857142857142	0	0	0	0	7.142857142857142	0	7.142857142857142	21.428571428571427	0	0	0	0	14.285714285714285	7.142857142857142
85	0	14.285714285714285	7.142857142857142	7.142857142857142	7.142857142857142	0	14.285714285714285	7.142857142857142	0	0	0	0	0	0	0	0	0	7.142857142857142	14.285714285714285	14.285714285714285
86	7.142857142857142	7.142857142857142	7.142857142857142	7.142857142857142	14.285714285714285	14.285714285714285	14.285714285714285	14.285714285714285	7.142857142857142	14.285714285714285	7.142857142857142	14.285714285714285	21.428571428571427	21.428571428571427	0	7.142857142857142	14.285714285714285	21.428571428571427	0	14.285714285714285
87	14.285714285714285	7.142857142857142	7.142857142857142	7.142857142857142	7.142857142857142	7.142857142857142	21.428571428571427	21.428571428571427	7.142857142857142	0	0	7.142857142857142	14.285714285714285	14.285714285714285	0	0	0	14.285714285714285	7.142857142857142	14.285714285714285
88	7.142857142857142	7.142857142857142	0	0	0	0	0	7.142857142857142	0	7.142857142857142	7.142857142857142	0	0	7.142857142857142	0	0	0	0	7.142857142857142	7.142857142857142
89	0	7.142857142857142	14.285714285714285	0	14.285714285714285	14.285714285714285	0	0	14.285714285714285	7.142857142857142	7.142857142857142	14.285714285714285	7.142857142857142	7.142857142857142	7.142857142857142	0	14.285714285714285	14.285714285714285	7.142857142857142	7.142857142857142
90	7.142857142857142	14.285714285714285	7.142857142857142	14.285714285714285	7.142857142857142	14.285714285714285	14.285714285714285	7.142857142857142	28.57142857142857	14.285714285714285	0	0	14.285714285714285	0	7.142857142857142	7.142857142857142	0	7.142857142857142	14.285714285714285	0
91	14.285714285714285	28.57142857142857	7.142857142857142	14.285714285714285	14.285714285714285	28.57142857142857	7.142857142857142	14.285714285714285	7.142857142857142	7.142857142857142	7.142857142857142	21.428571428571427	7.142857142857142	21.428571428571427	7.142857142857142	7.142857142857142	21.428571428571427	14.285714285714285	14.285714285714285	14.285714285714285
92	21.428571428571427	28.57142857142857	21.428571428571427	35.714285714285715	42.857142857142854	35.714285714285715	35.714285714285715	21.428571428571427	21.428571428571427	28.57142857142857	28.57142857142857	28.57142857142857	21.428571428571427	42.857142857142854	21.428571428571427	28.57142857142857	35.714285714285715	35.714285714285715	35.714285714285715	28.57142857142857
93	7.142857142857142	0	0	7.142857142857142	0	0	0	0	14.285714285714285	7.142857142857142	14.285714285714285	0	0	14.285714285714285	0	0	14.285714285714285	7.142857142857142	7.142857142857142	0
94	0	0	7.142857142857142	7.142857142857142	7.142857142857142	0	0	0	0	0	0	0	0	0	0	0	0	7.142857142857142	0	0
95	7.142857142857142	7.142857142857142	14.285714285714285	14.285714285714285	14.285714285714285	0	0	0	21.428571428571427	14.285714285714285	0	0	7.142857142857142	7.142857142857142	0	0	0	0	0	7.142857142857142
96	21.428571428571427	14.285714285714285	21.428571428571427	7.142857142857142	28.57142857142857	14.285714285714285	21.428571428571427	14.285714285714285	21.428571428571427	7.142857142857142	35.714285714285715	7.142857142857142	14.285714285714285	57.14285714285714	21.428571428571427	21.428571428571427	7.142857142857142	28.57142857142857	42.857142857142854	35.714285714285715
97	0	0	7.6923076923076925	7.6923076923076925	7.6923076923076925	0	0	0	0	0	7.6923076923076925	7.6923076923076925	0	0	0	0	0	0	0	7.6923076923076925
98	0	0	7.6923076923076925	0	0	7.6923076923076925	0	0	0	7.6923076923076925	0	0	0	0	15.384615384615385	0	0	7.6923076923076925	0	15.384615384615385
99	7.6923076923076925	0	15.384615384615385	7.6923076923076925	0	0	0	0	7.6923076923076925	0	0	0	0	7.6923076923076925	0	0	0	7.6923076923076925	0	0
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	7.6923076923076925	0	0	0	7.6923076923076925	7.6923076923076925	0	0	7.6923076923076925	7.6923076923076925	0	0	0	7.6923076923076925	23.076923076923077	7.6923076923076925	0	23.076923076923077	0	7.6923076923076925
102	0	15.384615384615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6923076923076925
103	7.6923076923076925	0	7.6923076923076925	7.6923076923076925	7.6923076923076925	0	7.6923076923076925	7.6923076923076925	0	0	0	15.384615384615385	7.6923076923076925	7.6923076923076925	7.6923076923076925	0	0	0	7.6923076923076925	7.6923076923076925
104	0	0	15.384615384615385	0	7.6923076923076925	7.6923076923076925	0	0	7.6923076923076925	0	7.6923076923076925	0	0	0	0	0	0	7.6923076923076925	0	0
105	23.076923076923077	15.384615384615385	0	7.6923076923076925	0	7.6923076923076925	0	7.6923076923076925	7.6923076923076925	7.6923076923076925	0	7.6923076923076925	0	0	7.6923076923076925	0	7.6923076923076925	7.6923076923076925	7.6923076923076925	7.6923076923076925
